,Date,Start,Visitor,VisitorPTS,Home,HomePTS
1,Tue Oct 30 2012,7:00 pm,Washington Wizards,84,Cleveland Cavaliers,94
2,Tue Oct 30 2012,7:30 pm,Dallas Mavericks,99,Los Angeles Lakers,91
3,Tue Oct 30 2012,8:00 pm,Boston Celtics,107,Miami Heat,120
4,Wed Oct 31 2012,7:00 pm,Sacramento Kings,87,Chicago Bulls,93
5,Wed Oct 31 2012,7:30 pm,Houston Rockets,105,Detroit Pistons,96
6,Wed Oct 31 2012,7:30 pm,Memphis Grizzlies,92,Los Angeles Clippers,101
7,Wed Oct 31 2012,7:00 pm,San Antonio Spurs,99,New Orleans Hornets,95
8,Wed Oct 31 2012,7:00 pm,Denver Nuggets,75,Philadelphia 76ers,84
9,Wed Oct 31 2012,7:00 pm,Golden State Warriors,87,Phoenix Suns,85
10,Wed Oct 31 2012,7:30 pm,Los Angeles Lakers,106,Portland Trail Blazers,116
11,Wed Oct 31 2012,7:00 pm,Indiana Pacers,90,Toronto Raptors,88
12,Wed Oct 31 2012,7:00 pm,Dallas Mavericks,94,Utah Jazz,113
14,Thu Nov 1 2012,8:30 pm,Oklahoma City Thunder,84,San Antonio Spurs,86
15,Fri Nov 2 2012,7:30 pm,Houston Rockets,109,Atlanta Hawks,102
16,Fri Nov 2 2012,7:30 pm,Milwaukee Bucks,99,Boston Celtics,88
17,Fri Nov 2 2012,7:00 pm,Indiana Pacers,89,Charlotte Bobcats,90
18,Fri Nov 2 2012,7:30 pm,Chicago Bulls,115,Cleveland Cavaliers,86
19,Fri Nov 2 2012,7:30 pm,Memphis Grizzlies,104,Golden State Warriors,94
20,Fri Nov 2 2012,7:30 pm,Los Angeles Clippers,105,Los Angeles Lakers,95
21,Fri Nov 2 2012,7:00 pm,Sacramento Kings,80,Minnesota Timberwolves,92
22,Fri Nov 2 2012,7:00 pm,Utah Jazz,86,New Orleans Hornets,88
23,Fri Nov 2 2012,8:00 pm,Miami Heat,84,New York Knicks,104
24,Fri Nov 2 2012,7:00 pm,Portland Trail Blazers,92,Oklahoma City Thunder,106
25,Fri Nov 2 2012,7:00 pm,Denver Nuggets,89,Orlando Magic,102
26,Fri Nov 2 2012,7:00 pm,Detroit Pistons,89,Phoenix Suns,92
27,Sat Nov 3 2012,7:30 pm,Toronto Raptors,100,Brooklyn Nets,107
28,Sat Nov 3 2012,7:00 pm,New Orleans Hornets,89,Chicago Bulls,82
29,Sat Nov 3 2012,7:30 pm,Charlotte Bobcats,99,Dallas Mavericks,126
30,Sat Nov 3 2012,7:00 pm,Portland Trail Blazers,95,Houston Rockets,85
31,Sat Nov 3 2012,7:00 pm,Sacramento Kings,98,Indiana Pacers,106
32,Sat Nov 3 2012,7:30 pm,Golden State Warriors,114,Los Angeles Clippers,110
33,Sat Nov 3 2012,7:30 pm,Denver Nuggets,116,Miami Heat,119
34,Sat Nov 3 2012,7:30 pm,Cleveland Cavaliers,102,Milwaukee Bucks,105
35,Sat Nov 3 2012,7:30 pm,Utah Jazz,100,San Antonio Spurs,110
36,Sat Nov 3 2012,7:00 pm,Boston Celtics,89,Washington Wizards,86
37,Sun Nov 4 2012,6:30 pm,Detroit Pistons,79,Los Angeles Lakers,108
38,Sun Nov 4 2012,12:00 pm,Philadelphia 76ers,84,New York Knicks,100
39,Sun Nov 4 2012,6:00 pm,Atlanta Hawks,104,Oklahoma City Thunder,95
40,Sun Nov 4 2012,6:00 pm,Phoenix Suns,94,Orlando Magic,115
41,Sun Nov 4 2012,6:00 pm,Minnesota Timberwolves,86,Toronto Raptors,105
42,Mon Nov 5 2012,7:30 pm,Minnesota Timberwolves,107,Brooklyn Nets,96
43,Mon Nov 5 2012,7:30 pm,Portland Trail Blazers,91,Dallas Mavericks,114
44,Mon Nov 5 2012,7:30 pm,Cleveland Cavaliers,108,Los Angeles Clippers,101
45,Mon Nov 5 2012,7:00 pm,Utah Jazz,94,Memphis Grizzlies,103
46,Mon Nov 5 2012,7:30 pm,Phoenix Suns,99,Miami Heat,124
47,Mon Nov 5 2012,7:00 pm,New York Knicks,110,Philadelphia 76ers,88
48,Mon Nov 5 2012,7:00 pm,Golden State Warriors,92,Sacramento Kings,94
49,Mon Nov 5 2012,7:30 pm,Indiana Pacers,79,San Antonio Spurs,101
50,Tue Nov 6 2012,7:00 pm,Orlando Magic,93,Chicago Bulls,99
51,Tue Nov 6 2012,7:00 pm,Detroit Pistons,97,Denver Nuggets,109
52,Tue Nov 6 2012,7:00 pm,Toronto Raptors,88,Oklahoma City Thunder,108
53,Wed Nov 7 2012,7:30 pm,Indiana Pacers,86,Atlanta Hawks,89
54,Wed Nov 7 2012,7:30 pm,Washington Wizards,94,Boston Celtics,100
55,Wed Nov 7 2012,7:00 pm,Phoenix Suns,117,Charlotte Bobcats,110
56,Wed Nov 7 2012,7:30 pm,Toronto Raptors,104,Dallas Mavericks,109
57,Wed Nov 7 2012,7:30 pm,Cleveland Cavaliers,96,Golden State Warriors,106
58,Wed Nov 7 2012,7:00 pm,Denver Nuggets,93,Houston Rockets,87
59,Wed Nov 7 2012,7:30 pm,San Antonio Spurs,84,Los Angeles Clippers,106
60,Wed Nov 7 2012,7:30 pm,Brooklyn Nets,73,Miami Heat,103
61,Wed Nov 7 2012,7:00 pm,Memphis Grizzlies,108,Milwaukee Bucks,90
62,Wed Nov 7 2012,7:00 pm,Orlando Magic,75,Minnesota Timberwolves,90
63,Wed Nov 7 2012,7:00 pm,Philadelphia 76ers,77,New Orleans Hornets,62
64,Wed Nov 7 2012,7:00 pm,Detroit Pistons,103,Sacramento Kings,105
65,Wed Nov 7 2012,7:00 pm,Los Angeles Lakers,86,Utah Jazz,95
66,Thu Nov 8 2012,7:00 pm,Oklahoma City Thunder,97,Chicago Bulls,91
67,Thu Nov 8 2012,7:30 pm,Los Angeles Clippers,103,Portland Trail Blazers,90
68,Fri Nov 9 2012,7:30 pm,Miami Heat,95,Atlanta Hawks,89
69,Fri Nov 9 2012,7:30 pm,Philadelphia 76ers,106,Boston Celtics,100
70,Fri Nov 9 2012,8:30 pm,Utah Jazz,84,Denver Nuggets,104
71,Fri Nov 9 2012,7:30 pm,Golden State Warriors,77,Los Angeles Lakers,101
72,Fri Nov 9 2012,7:00 pm,Houston Rockets,85,Memphis Grizzlies,93
73,Fri Nov 9 2012,7:00 pm,Indiana Pacers,94,Minnesota Timberwolves,96
74,Fri Nov 9 2012,7:00 pm,Charlotte Bobcats,99,New Orleans Hornets,107
75,Fri Nov 9 2012,7:30 pm,Dallas Mavericks,94,New York Knicks,104
76,Fri Nov 9 2012,7:00 pm,Detroit Pistons,94,Oklahoma City Thunder,105
77,Fri Nov 9 2012,7:00 pm,Brooklyn Nets,107,Orlando Magic,68
78,Fri Nov 9 2012,7:00 pm,Cleveland Cavaliers,105,Phoenix Suns,107
79,Fri Nov 9 2012,7:00 pm,San Antonio Spurs,97,Sacramento Kings,86
80,Fri Nov 9 2012,7:00 pm,Milwaukee Bucks,101,Washington Wizards,91
81,Sat Nov 10 2012,7:30 pm,Dallas Mavericks,97,Charlotte Bobcats,101
82,Sat Nov 10 2012,7:00 pm,Minnesota Timberwolves,80,Chicago Bulls,87
83,Sat Nov 10 2012,7:30 pm,Denver Nuggets,107,Golden State Warriors,101
84,Sat Nov 10 2012,7:00 pm,Detroit Pistons,82,Houston Rockets,96
85,Sat Nov 10 2012,7:00 pm,Washington Wizards,85,Indiana Pacers,89
86,Sat Nov 10 2012,7:30 pm,Boston Celtics,96,Milwaukee Bucks,92
87,Sat Nov 10 2012,7:00 pm,San Antonio Spurs,112,Portland Trail Blazers,109
88,Sat Nov 10 2012,7:00 pm,Philadelphia 76ers,93,Toronto Raptors,83
89,Sat Nov 10 2012,7:00 pm,Phoenix Suns,81,Utah Jazz,94
90,Sun Nov 11 2012,3:00 pm,Orlando Magic,74,Brooklyn Nets,82
91,Sun Nov 11 2012,12:30 pm,Atlanta Hawks,76,Los Angeles Clippers,89
92,Sun Nov 11 2012,6:30 pm,Sacramento Kings,90,Los Angeles Lakers,103
