,Date,Start,Visitor,VisitorPTS,Home,HomePTS
93,Sun Nov 11 2012,5:00 pm,Miami Heat,86,Memphis Grizzlies,104
94,Sun Nov 11 2012,6:00 pm,Cleveland Cavaliers,91,Oklahoma City Thunder,106
95,Mon Nov 12 2012,7:00 pm,Boston Celtics,101,Chicago Bulls,95
96,Mon Nov 12 2012,7:30 pm,Minnesota Timberwolves,90,Dallas Mavericks,82
97,Mon Nov 12 2012,7:30 pm,Oklahoma City Thunder,92,Detroit Pistons,90
98,Mon Nov 12 2012,7:00 pm,Miami Heat,113,Houston Rockets,110
99,Mon Nov 12 2012,7:00 pm,Milwaukee Bucks,105,Philadelphia 76ers,96
100,Mon Nov 12 2012,7:00 pm,Denver Nuggets,100,Phoenix Suns,110
101,Mon Nov 12 2012,7:00 pm,Atlanta Hawks,95,Portland Trail Blazers,87
102,Mon Nov 12 2012,7:00 pm,Utah Jazz,140,Toronto Raptors,133
103,Tue Nov 13 2012,7:30 pm,Cleveland Cavaliers,101,Brooklyn Nets,114
104,Tue Nov 13 2012,7:00 pm,Washington Wizards,76,Charlotte Bobcats,92
105,Tue Nov 13 2012,7:00 pm,Toronto Raptors,74,Indiana Pacers,72
106,Tue Nov 13 2012,7:30 pm,San Antonio Spurs,84,Los Angeles Lakers,82
107,Tue Nov 13 2012,7:00 pm,New York Knicks,99,Orlando Magic,89
108,Tue Nov 13 2012,7:00 pm,Portland Trail Blazers,103,Sacramento Kings,86
109,Wed Nov 14 2012,7:30 pm,Utah Jazz,93,Boston Celtics,98
110,Wed Nov 14 2012,7:30 pm,Washington Wizards,101,Dallas Mavericks,107
111,Wed Nov 14 2012,7:30 pm,Atlanta Hawks,88,Golden State Warriors,92
112,Wed Nov 14 2012,7:00 pm,New Orleans Hornets,96,Houston Rockets,100
113,Wed Nov 14 2012,7:30 pm,Miami Heat,100,Los Angeles Clippers,107
114,Wed Nov 14 2012,7:00 pm,Indiana Pacers,85,Milwaukee Bucks,99
115,Wed Nov 14 2012,7:00 pm,Charlotte Bobcats,89,Minnesota Timberwolves,87
116,Wed Nov 14 2012,7:00 pm,Memphis Grizzlies,107,Oklahoma City Thunder,97
117,Wed Nov 14 2012,7:00 pm,Detroit Pistons,94,Philadelphia 76ers,76
118,Wed Nov 14 2012,7:00 pm,Chicago Bulls,112,Phoenix Suns,106
119,Thu Nov 15 2012,8:00 pm,Boston Celtics,97,Brooklyn Nets,102
120,Thu Nov 15 2012,8:30 pm,Miami Heat,98,Denver Nuggets,93
121,Thu Nov 15 2012,7:30 pm,New York Knicks,104,San Antonio Spurs,100
122,Fri Nov 16 2012,7:30 pm,Orlando Magic,110,Detroit Pistons,106
123,Fri Nov 16 2012,7:00 pm,Dallas Mavericks,83,Indiana Pacers,103
124,Fri Nov 16 2012,7:30 pm,Phoenix Suns,102,Los Angeles Lakers,114
125,Fri Nov 16 2012,8:30 pm,New York Knicks,95,Memphis Grizzlies,105
126,Fri Nov 16 2012,7:00 pm,Golden State Warriors,106,Minnesota Timberwolves,98
127,Fri Nov 16 2012,7:00 pm,Oklahoma City Thunder,110,New Orleans Hornets,95
128,Fri Nov 16 2012,7:00 pm,Utah Jazz,93,Philadelphia 76ers,99
129,Fri Nov 16 2012,7:00 pm,Houston Rockets,117,Portland Trail Blazers,119
130,Fri Nov 16 2012,7:00 pm,Atlanta Hawks,112,Sacramento Kings,96
131,Sat Nov 17 2012,12:30 pm,Toronto Raptors,89,Boston Celtics,107
132,Sat Nov 17 2012,7:30 pm,Memphis Grizzlies,94,Charlotte Bobcats,87
133,Sat Nov 17 2012,7:30 pm,Dallas Mavericks,103,Cleveland Cavaliers,95
134,Sat Nov 17 2012,6:00 pm,Chicago Bulls,80,Los Angeles Clippers,101
135,Sat Nov 17 2012,7:30 pm,New Orleans Hornets,113,Milwaukee Bucks,117
136,Sat Nov 17 2012,7:00 pm,Miami Heat,97,Phoenix Suns,88
137,Sat Nov 17 2012,7:30 pm,Denver Nuggets,100,San Antonio Spurs,126
138,Sat Nov 17 2012,7:00 pm,Utah Jazz,83,Washington Wizards,76
139,Sun Nov 18 2012,7:30 pm,Boston Celtics,83,Detroit Pistons,103
140,Sun Nov 18 2012,6:30 pm,Houston Rockets,108,Los Angeles Lakers,119
141,Sun Nov 18 2012,12:00 pm,Indiana Pacers,76,New York Knicks,88
142,Sun Nov 18 2012,6:00 pm,Golden State Warriors,109,Oklahoma City Thunder,119
143,Sun Nov 18 2012,6:00 pm,Cleveland Cavaliers,79,Philadelphia 76ers,86
144,Sun Nov 18 2012,6:00 pm,Chicago Bulls,94,Portland Trail Blazers,102
145,Sun Nov 18 2012,3:00 pm,Brooklyn Nets,99,Sacramento Kings,90
146,Sun Nov 18 2012,1:00 pm,Orlando Magic,86,Toronto Raptors,97
147,Mon Nov 19 2012,7:30 pm,Orlando Magic,72,Atlanta Hawks,81
148,Mon Nov 19 2012,7:00 pm,Milwaukee Bucks,98,Charlotte Bobcats,102
149,Mon Nov 19 2012,7:30 pm,Golden State Warriors,105,Dallas Mavericks,101
150,Mon Nov 19 2012,7:00 pm,Denver Nuggets,97,Memphis Grizzlies,92
151,Mon Nov 19 2012,7:30 pm,Los Angeles Clippers,92,San Antonio Spurs,87
152,Mon Nov 19 2012,7:00 pm,Houston Rockets,91,Utah Jazz,102
153,Mon Nov 19 2012,7:00 pm,Indiana Pacers,96,Washington Wizards,89
154,Tue Nov 20 2012,7:30 pm,Brooklyn Nets,90,Los Angeles Lakers,95
155,Tue Nov 20 2012,7:00 pm,New York Knicks,102,New Orleans Hornets,80
156,Tue Nov 20 2012,7:00 pm,Toronto Raptors,98,Philadelphia 76ers,106
157,Wed Nov 21 2012,7:30 pm,Washington Wizards,100,Atlanta Hawks,101
158,Wed Nov 21 2012,7:30 pm,San Antonio Spurs,112,Boston Celtics,100
159,Wed Nov 21 2012,7:00 pm,Toronto Raptors,97,Charlotte Bobcats,98
160,Wed Nov 21 2012,7:00 pm,Philadelphia 76ers,83,Cleveland Cavaliers,92
161,Wed Nov 21 2012,7:30 pm,New York Knicks,111,Dallas Mavericks,114
162,Wed Nov 21 2012,7:30 pm,Brooklyn Nets,93,Golden State Warriors,102
163,Wed Nov 21 2012,7:00 pm,Chicago Bulls,89,Houston Rockets,93
164,Wed Nov 21 2012,7:00 pm,New Orleans Hornets,107,Indiana Pacers,115
165,Wed Nov 21 2012,7:30 pm,Milwaukee Bucks,106,Miami Heat,113
166,Wed Nov 21 2012,7:00 pm,Denver Nuggets,101,Minnesota Timberwolves,94
167,Wed Nov 21 2012,6:30 pm,Los Angeles Clippers,111,Oklahoma City Thunder,117
168,Wed Nov 21 2012,7:00 pm,Detroit Pistons,74,Orlando Magic,90
169,Wed Nov 21 2012,7:00 pm,Portland Trail Blazers,87,Phoenix Suns,114
170,Wed Nov 21 2012,7:00 pm,Los Angeles Lakers,97,Sacramento Kings,113
171,Fri Nov 23 2012,7:30 pm,Oklahoma City Thunder,100,Boston Celtics,108
172,Fri Nov 23 2012,7:30 pm,Los Angeles Clippers,76,Brooklyn Nets,86
173,Fri Nov 23 2012,7:00 pm,Atlanta Hawks,101,Charlotte Bobcats,91
174,Fri Nov 23 2012,7:00 pm,Golden State Warriors,91,Denver Nuggets,102
175,Fri Nov 23 2012,7:30 pm,Toronto Raptors,90,Detroit Pistons,91
176,Fri Nov 23 2012,7:00 pm,New York Knicks,103,Houston Rockets,131
177,Fri Nov 23 2012,8:00 pm,San Antonio Spurs,104,Indiana Pacers,97
178,Fri Nov 23 2012,7:00 pm,Los Angeles Lakers,98,Memphis Grizzlies,106
179,Fri Nov 23 2012,7:00 pm,Cleveland Cavaliers,104,Orlando Magic,108
180,Fri Nov 23 2012,7:00 pm,New Orleans Hornets,108,Phoenix Suns,111
181,Fri Nov 23 2012,7:00 pm,Minnesota Timberwolves,95,Portland Trail Blazers,103
182,Fri Nov 23 2012,7:00 pm,Sacramento Kings,102,Utah Jazz,104
183,Sat Nov 24 2012,7:00 pm,Los Angeles Clippers,93,Atlanta Hawks,104
184,Sat Nov 24 2012,7:30 pm,Los Angeles Lakers,115,Dallas Mavericks,89
185,Sat Nov 24 2012,7:30 pm,Minnesota Timberwolves,85,Golden State Warriors,96
186,Sat Nov 24 2012,7:30 pm,Cleveland Cavaliers,108,Miami Heat,110
187,Sat Nov 24 2012,8:00 pm,Chicago Bulls,93,Milwaukee Bucks,86
188,Sat Nov 24 2012,7:00 pm,Oklahoma City Thunder,116,Philadelphia 76ers,109
189,Sat Nov 24 2012,7:00 pm,Utah Jazz,97,Sacramento Kings,108
190,Sat Nov 24 2012,7:00 pm,Charlotte Bobcats,108,Washington Wizards,106
191,Sun Nov 25 2012,3:00 pm,Portland Trail Blazers,85,Brooklyn Nets,98
192,Sun Nov 25 2012,6:00 pm,New Orleans Hornets,84,Denver Nuggets,102
193,Sun Nov 25 2012,1:00 pm,Detroit Pistons,100,New York Knicks,121
194,Sun Nov 25 2012,6:00 pm,Boston Celtics,116,Orlando Magic,110
195,Sun Nov 25 2012,6:00 pm,Phoenix Suns,101,Philadelphia 76ers,104
196,Sun Nov 25 2012,1:00 pm,San Antonio Spurs,111,Toronto Raptors,106
197,Mon Nov 26 2012,7:00 pm,New York Knicks,89,Brooklyn Nets,96
198,Mon Nov 26 2012,7:00 pm,Milwaukee Bucks,93,Chicago Bulls,92
199,Mon Nov 26 2012,7:30 pm,Portland Trail Blazers,101,Detroit Pistons,108
200,Mon Nov 26 2012,7:30 pm,New Orleans Hornets,105,Los Angeles Clippers,98
201,Mon Nov 26 2012,7:00 pm,Cleveland Cavaliers,78,Memphis Grizzlies,84
202,Mon Nov 26 2012,7:00 pm,Charlotte Bobcats,69,Oklahoma City Thunder,114
203,Mon Nov 26 2012,7:00 pm,Denver Nuggets,103,Utah Jazz,105
204,Mon Nov 26 2012,7:00 pm,San Antonio Spurs,118,Washington Wizards,92
205,Tue Nov 27 2012,7:00 pm,Phoenix Suns,91,Cleveland Cavaliers,78
206,Tue Nov 27 2012,7:00 pm,Toronto Raptors,101,Houston Rockets,117
207,Tue Nov 27 2012,7:30 pm,Indiana Pacers,79,Los Angeles Lakers,77
208,Tue Nov 27 2012,7:00 pm,Dallas Mavericks,98,Philadelphia 76ers,100
209,Tue Nov 27 2012,7:00 pm,Minnesota Timberwolves,97,Sacramento Kings,89
210,Wed Nov 28 2012,7:30 pm,Charlotte Bobcats,91,Atlanta Hawks,94
211,Wed Nov 28 2012,7:30 pm,Brooklyn Nets,95,Boston Celtics,83
212,Wed Nov 28 2012,7:00 pm,Dallas Mavericks,78,Chicago Bulls,101
213,Wed Nov 28 2012,7:30 pm,Phoenix Suns,77,Detroit Pistons,117
214,Wed Nov 28 2012,7:30 pm,Minnesota Timberwolves,95,Los Angeles Clippers,101
215,Wed Nov 28 2012,7:00 pm,Toronto Raptors,82,Memphis Grizzlies,103
216,Wed Nov 28 2012,7:00 pm,New York Knicks,102,Milwaukee Bucks,88
217,Wed Nov 28 2012,7:00 pm,Utah Jazz,96,New Orleans Hornets,84
218,Wed Nov 28 2012,7:00 pm,Houston Rockets,98,Oklahoma City Thunder,120
219,Wed Nov 28 2012,7:00 pm,San Antonio Spurs,110,Orlando Magic,89
220,Wed Nov 28 2012,7:00 pm,Portland Trail Blazers,82,Washington Wizards,84
221,Thu Nov 29 2012,7:30 pm,Denver Nuggets,105,Golden State Warriors,106
222,Thu Nov 29 2012,8:00 pm,San Antonio Spurs,100,Miami Heat,105
223,Fri Nov 30 2012,7:30 pm,Cleveland Cavaliers,113,Atlanta Hawks,111
224,Fri Nov 30 2012,7:30 pm,Portland Trail Blazers,78,Boston Celtics,96
225,Fri Nov 30 2012,7:00 pm,Philadelphia 76ers,104,Charlotte Bobcats,98
226,Fri Nov 30 2012,7:30 pm,Denver Nuggets,103,Los Angeles Lakers,122
227,Fri Nov 30 2012,7:00 pm,Detroit Pistons,78,Memphis Grizzlies,90
228,Fri Nov 30 2012,7:00 pm,Milwaukee Bucks,85,Minnesota Timberwolves,95
229,Fri Nov 30 2012,7:30 pm,Washington Wizards,87,New York Knicks,108
230,Fri Nov 30 2012,7:00 pm,Utah Jazz,94,Oklahoma City Thunder,106
231,Fri Nov 30 2012,7:00 pm,Brooklyn Nets,98,Orlando Magic,86
232,Fri Nov 30 2012,7:00 pm,Indiana Pacers,97,Sacramento Kings,92
233,Fri Nov 30 2012,7:00 pm,Phoenix Suns,97,Toronto Raptors,101
235,Sat Dec 1 2012,7:00 pm,Philadelphia 76ers,88,Chicago Bulls,93
236,Sat Dec 1 2012,7:30 pm,Portland Trail Blazers,118,Cleveland Cavaliers,117
237,Sat Dec 1 2012,8:00 pm,Detroit Pistons,77,Dallas Mavericks,92
238,Sat Dec 1 2012,7:30 pm,Indiana Pacers,92,Golden State Warriors,103
239,Sat Dec 1 2012,7:00 pm,Utah Jazz,116,Houston Rockets,124
240,Sat Dec 1 2012,7:30 pm,Sacramento Kings,81,Los Angeles Clippers,116
241,Sat Dec 1 2012,7:30 pm,Brooklyn Nets,89,Miami Heat,102
242,Sat Dec 1 2012,7:30 pm,Boston Celtics,88,Milwaukee Bucks,91
243,Sat Dec 1 2012,7:00 pm,Oklahoma City Thunder,100,New Orleans Hornets,79
244,Sat Dec 1 2012,7:30 pm,Memphis Grizzlies,95,San Antonio Spurs,99
245,Sun Dec 2 2012,6:30 pm,Orlando Magic,113,Los Angeles Lakers,103
246,Sun Dec 2 2012,12:00 pm,Phoenix Suns,99,New York Knicks,106
247,Mon Dec 3 2012,7:00 pm,Portland Trail Blazers,118,Charlotte Bobcats,112
248,Mon Dec 3 2012,7:00 pm,Toronto Raptors,110,Denver Nuggets,113
249,Mon Dec 3 2012,7:30 pm,Cleveland Cavaliers,79,Detroit Pistons,89
250,Mon Dec 3 2012,7:30 pm,Orlando Magic,102,Golden State Warriors,94
251,Mon Dec 3 2012,7:00 pm,Milwaukee Bucks,81,New Orleans Hornets,102
252,Mon Dec 3 2012,7:00 pm,Los Angeles Clippers,105,Utah Jazz,104
253,Tue Dec 4 2012,7:30 pm,Oklahoma City Thunder,117,Brooklyn Nets,111
254,Tue Dec 4 2012,7:00 pm,Indiana Pacers,80,Chicago Bulls,76
255,Tue Dec 4 2012,7:00 pm,Los Angeles Lakers,105,Houston Rockets,107
256,Tue Dec 4 2012,7:00 pm,Phoenix Suns,98,Memphis Grizzlies,108
257,Tue Dec 4 2012,7:00 pm,Minnesota Timberwolves,105,Philadelphia 76ers,88
258,Tue Dec 4 2012,7:00 pm,Miami Heat,101,Washington Wizards,105
259,Wed Dec 5 2012,8:00 pm,Denver Nuggets,104,Atlanta Hawks,108
260,Wed Dec 5 2012,7:30 pm,Minnesota Timberwolves,94,Boston Celtics,104
261,Wed Dec 5 2012,7:00 pm,New York Knicks,100,Charlotte Bobcats,98
262,Wed Dec 5 2012,8:00 pm,Chicago Bulls,95,Cleveland Cavaliers,85
263,Wed Dec 5 2012,7:30 pm,Golden State Warriors,104,Detroit Pistons,97
264,Wed Dec 5 2012,7:00 pm,Portland Trail Blazers,92,Indiana Pacers,99
265,Wed Dec 5 2012,7:30 pm,Dallas Mavericks,90,Los Angeles Clippers,112
266,Wed Dec 5 2012,7:00 pm,Los Angeles Lakers,103,New Orleans Hornets,87
267,Wed Dec 5 2012,7:00 pm,Toronto Raptors,100,Sacramento Kings,107
268,Wed Dec 5 2012,7:30 pm,Milwaukee Bucks,99,San Antonio Spurs,110
269,Wed Dec 5 2012,7:00 pm,Orlando Magic,81,Utah Jazz,87
270,Thu Dec 6 2012,8:00 pm,New York Knicks,112,Miami Heat,92
271,Thu Dec 6 2012,8:30 pm,Dallas Mavericks,97,Phoenix Suns,94
272,Fri Dec 7 2012,7:30 pm,Washington Wizards,95,Atlanta Hawks,104
273,Fri Dec 7 2012,7:30 pm,Golden State Warriors,109,Brooklyn Nets,102
274,Fri Dec 7 2012,7:30 pm,Chicago Bulls,108,Detroit Pistons,104
275,Fri Dec 7 2012,7:00 pm,Denver Nuggets,92,Indiana Pacers,89
276,Fri Dec 7 2012,7:30 pm,Charlotte Bobcats,93,Milwaukee Bucks,108
277,Fri Dec 7 2012,7:00 pm,Cleveland Cavaliers,73,Minnesota Timberwolves,91
278,Fri Dec 7 2012,7:00 pm,Memphis Grizzlies,96,New Orleans Hornets,89
279,Fri Dec 7 2012,8:30 pm,Los Angeles Lakers,108,Oklahoma City Thunder,114
280,Fri Dec 7 2012,7:00 pm,Boston Celtics,94,Philadelphia 76ers,95
281,Fri Dec 7 2012,7:00 pm,Orlando Magic,82,Sacramento Kings,91
282,Fri Dec 7 2012,7:30 pm,Houston Rockets,92,San Antonio Spurs,114
283,Fri Dec 7 2012,7:00 pm,Toronto Raptors,99,Utah Jazz,131
284,Sat Dec 8 2012,7:30 pm,Philadelphia 76ers,79,Boston Celtics,92
285,Sat Dec 8 2012,7:00 pm,San Antonio Spurs,132,Charlotte Bobcats,102
286,Sat Dec 8 2012,7:00 pm,New York Knicks,85,Chicago Bulls,93
287,Sat Dec 8 2012,7:30 pm,Detroit Pistons,104,Cleveland Cavaliers,97
288,Sat Dec 8 2012,7:00 pm,Dallas Mavericks,116,Houston Rockets,109
289,Sat Dec 8 2012,12:30 pm,Phoenix Suns,99,Los Angeles Clippers,117
290,Sat Dec 8 2012,7:00 pm,Atlanta Hawks,93,Memphis Grizzlies,83
291,Sat Dec 8 2012,7:30 pm,New Orleans Hornets,90,Miami Heat,106
292,Sat Dec 8 2012,7:00 pm,Sacramento Kings,99,Portland Trail Blazers,80
293,Sat Dec 8 2012,7:00 pm,Golden State Warriors,101,Washington Wizards,97
294,Sun Dec 9 2012,6:00 pm,Milwaukee Bucks,97,Brooklyn Nets,88
295,Sun Dec 9 2012,12:30 pm,Toronto Raptors,83,Los Angeles Clippers,102
296,Sun Dec 9 2012,6:30 pm,Utah Jazz,117,Los Angeles Lakers,110
297,Sun Dec 9 2012,7:30 pm,Denver Nuggets,106,New York Knicks,112
298,Sun Dec 9 2012,6:00 pm,Indiana Pacers,93,Oklahoma City Thunder,104
299,Sun Dec 9 2012,6:00 pm,Orlando Magic,98,Phoenix Suns,90
300,Mon Dec 10 2012,7:00 pm,Golden State Warriors,104,Charlotte Bobcats,96
301,Mon Dec 10 2012,7:30 pm,Sacramento Kings,96,Dallas Mavericks,119
302,Mon Dec 10 2012,7:00 pm,San Antonio Spurs,134,Houston Rockets,126
303,Mon Dec 10 2012,7:30 pm,Atlanta Hawks,92,Miami Heat,101
304,Mon Dec 10 2012,7:00 pm,Detroit Pistons,97,Philadelphia 76ers,104
305,Mon Dec 10 2012,7:00 pm,Toronto Raptors,74,Portland Trail Blazers,92
306,Tue Dec 11 2012,7:00 pm,New York Knicks,100,Brooklyn Nets,97
307,Tue Dec 11 2012,8:30 pm,Los Angeles Clippers,94,Chicago Bulls,89
308,Tue Dec 11 2012,7:00 pm,Los Angeles Lakers,94,Cleveland Cavaliers,100
309,Tue Dec 11 2012,7:30 pm,Denver Nuggets,101,Detroit Pistons,94
310,Tue Dec 11 2012,7:00 pm,Washington Wizards,77,New Orleans Hornets,70
311,Wed Dec 12 2012,8:00 pm,Dallas Mavericks,115,Boston Celtics,117
312,Wed Dec 12 2012,7:30 pm,Los Angeles Clippers,100,Charlotte Bobcats,94
313,Wed Dec 12 2012,7:00 pm,Washington Wizards,93,Houston Rockets,99
314,Wed Dec 12 2012,7:00 pm,Cleveland Cavaliers,81,Indiana Pacers,96
315,Wed Dec 12 2012,7:30 pm,Golden State Warriors,97,Miami Heat,95
316,Wed Dec 12 2012,7:00 pm,Sacramento Kings,85,Milwaukee Bucks,98
317,Wed Dec 12 2012,7:00 pm,Denver Nuggets,105,Minnesota Timberwolves,108
