,Date,Start,Visitor,VisitorPTS,Home,HomePTS
56,Tue Nov 5 2013,8:00 pm,Phoenix Suns,104,New Orleans Pelicans,98
57,Tue Nov 5 2013,7:30 pm,Charlotte Bobcats,102,New York Knicks,97
58,Tue Nov 5 2013,10:00 pm,Houston Rockets,116,Portland Trail Blazers,101
59,Tue Nov 5 2013,10:00 pm,Atlanta Hawks,105,Sacramento Kings,100
60,Tue Nov 5 2013,7:00 pm,Miami Heat,104,Toronto Raptors,95
61,Wed Nov 6 2013,7:30 pm,Utah Jazz,87,Boston Celtics,97
62,Wed Nov 6 2013,7:00 pm,Toronto Raptors,90,Charlotte Bobcats,92
63,Wed Nov 6 2013,7:00 pm,Chicago Bulls,80,Indiana Pacers,97
64,Wed Nov 6 2013,8:00 pm,New Orleans Pelicans,99,Memphis Grizzlies,84
65,Wed Nov 6 2013,8:00 pm,Cleveland Cavaliers,104,Milwaukee Bucks,109
66,Wed Nov 6 2013,8:00 pm,Golden State Warriors,106,Minnesota Timberwolves,93
67,Wed Nov 6 2013,9:30 pm,Dallas Mavericks,93,Oklahoma City Thunder,107
68,Wed Nov 6 2013,7:00 pm,Los Angeles Clippers,90,Orlando Magic,98
69,Wed Nov 6 2013,7:00 pm,Washington Wizards,116,Philadelphia 76ers,102
70,Wed Nov 6 2013,8:30 pm,Phoenix Suns,96,San Antonio Spurs,99
71,Thu Nov 7 2013,9:00 pm,Atlanta Hawks,107,Denver Nuggets,109
72,Thu Nov 7 2013,9:30 pm,Los Angeles Lakers,99,Houston Rockets,98
73,Thu Nov 7 2013,7:00 pm,Los Angeles Clippers,97,Miami Heat,102
74,Fri Nov 8 2013,7:00 pm,New York Knicks,101,Charlotte Bobcats,91
75,Fri Nov 8 2013,8:00 pm,Utah Jazz,73,Chicago Bulls,97
76,Fri Nov 8 2013,7:30 pm,Oklahoma City Thunder,119,Detroit Pistons,110
77,Fri Nov 8 2013,7:00 pm,Toronto Raptors,84,Indiana Pacers,91
78,Fri Nov 8 2013,8:00 pm,Dallas Mavericks,108,Minnesota Timberwolves,116
79,Fri Nov 8 2013,8:00 pm,Los Angeles Lakers,85,New Orleans Pelicans,96
80,Fri Nov 8 2013,7:00 pm,Boston Celtics,91,Orlando Magic,89
81,Fri Nov 8 2013,7:00 pm,Cleveland Cavaliers,79,Philadelphia 76ers,94
82,Fri Nov 8 2013,9:00 pm,Denver Nuggets,103,Phoenix Suns,114
83,Fri Nov 8 2013,10:00 pm,Sacramento Kings,91,Portland Trail Blazers,104
84,Fri Nov 8 2013,8:30 pm,Golden State Warriors,74,San Antonio Spurs,76
85,Fri Nov 8 2013,7:00 pm,Brooklyn Nets,108,Washington Wizards,112
86,Sat Nov 9 2013,7:30 pm,Orlando Magic,94,Atlanta Hawks,104
87,Sat Nov 9 2013,7:30 pm,Indiana Pacers,96,Brooklyn Nets,91
88,Sat Nov 9 2013,7:30 pm,Philadelphia 76ers,125,Cleveland Cavaliers,127
89,Sat Nov 9 2013,8:00 pm,Los Angeles Clippers,107,Houston Rockets,94
90,Sat Nov 9 2013,8:00 pm,Golden State Warriors,90,Memphis Grizzlies,108
91,Sat Nov 9 2013,7:30 pm,Boston Celtics,111,Miami Heat,110
92,Sat Nov 9 2013,8:30 pm,Dallas Mavericks,91,Milwaukee Bucks,83
93,Sat Nov 9 2013,10:00 pm,Portland Trail Blazers,96,Sacramento Kings,85
94,Sat Nov 9 2013,7:00 pm,Utah Jazz,91,Toronto Raptors,115
95,Sun Nov 10 2013,9:30 pm,Minnesota Timberwolves,113,Los Angeles Lakers,90
96,Sun Nov 10 2013,12:00 am,San Antonio Spurs,120,New York Knicks,89
97,Sun Nov 10 2013,7:00 pm,Washington Wizards,105,Oklahoma City Thunder,106
98,Sun Nov 10 2013,8:00 pm,New Orleans Pelicans,94,Phoenix Suns,101
99,Mon Nov 11 2013,7:30 pm,Orlando Magic,105,Boston Celtics,120
100,Mon Nov 11 2013,7:00 pm,Atlanta Hawks,103,Charlotte Bobcats,94
101,Mon Nov 11 2013,8:00 pm,Cleveland Cavaliers,81,Chicago Bulls,96
102,Mon Nov 11 2013,8:00 pm,Toronto Raptors,104,Houston Rockets,110
103,Mon Nov 11 2013,7:00 pm,Memphis Grizzlies,79,Indiana Pacers,95
104,Mon Nov 11 2013,10:30 pm,Minnesota Timberwolves,107,Los Angeles Clippers,109
105,Mon Nov 11 2013,7:00 pm,San Antonio Spurs,109,Philadelphia 76ers,85
106,Mon Nov 11 2013,10:00 pm,Detroit Pistons,103,Portland Trail Blazers,109
107,Mon Nov 11 2013,9:00 pm,Denver Nuggets,100,Utah Jazz,81
108,Tue Nov 12 2013,8:30 pm,Washington Wizards,95,Dallas Mavericks,105
109,Tue Nov 12 2013,10:30 pm,Detroit Pistons,95,Golden State Warriors,113
110,Tue Nov 12 2013,10:30 pm,New Orleans Pelicans,95,Los Angeles Lakers,116
111,Tue Nov 12 2013,7:30 pm,Milwaukee Bucks,95,Miami Heat,118
112,Wed Nov 13 2013,8:00 pm,New York Knicks,95,Atlanta Hawks,91
113,Wed Nov 13 2013,7:30 pm,Charlotte Bobcats,89,Boston Celtics,83
114,Wed Nov 13 2013,9:00 pm,Los Angeles Lakers,99,Denver Nuggets,111
115,Wed Nov 13 2013,10:30 pm,Oklahoma City Thunder,103,Los Angeles Clippers,111
116,Wed Nov 13 2013,8:00 pm,Toronto Raptors,103,Memphis Grizzlies,87
117,Wed Nov 13 2013,8:00 pm,Cleveland Cavaliers,95,Minnesota Timberwolves,124
118,Wed Nov 13 2013,7:00 pm,Milwaukee Bucks,91,Orlando Magic,94
119,Wed Nov 13 2013,7:00 pm,Houston Rockets,117,Philadelphia 76ers,123
120,Wed Nov 13 2013,10:00 pm,Phoenix Suns,89,Portland Trail Blazers,90
121,Wed Nov 13 2013,10:00 pm,Brooklyn Nets,86,Sacramento Kings,107
122,Wed Nov 13 2013,8:30 pm,Washington Wizards,79,San Antonio Spurs,92
123,Wed Nov 13 2013,9:00 pm,New Orleans Pelicans,105,Utah Jazz,111
124,Thu Nov 14 2013,10:30 pm,Oklahoma City Thunder,115,Golden State Warriors,116
125,Thu Nov 14 2013,8:00 pm,Houston Rockets,109,New York Knicks,106
126,Fri Nov 15 2013,7:30 pm,Philadelphia 76ers,103,Atlanta Hawks,113
127,Fri Nov 15 2013,7:30 pm,Portland Trail Blazers,109,Boston Celtics,96
128,Fri Nov 15 2013,7:30 pm,Charlotte Bobcats,86,Cleveland Cavaliers,80
129,Fri Nov 15 2013,8:00 pm,Minnesota Timberwolves,113,Denver Nuggets,117
130,Fri Nov 15 2013,7:00 pm,Milwaukee Bucks,77,Indiana Pacers,104
131,Fri Nov 15 2013,10:30 pm,Memphis Grizzlies,89,Los Angeles Lakers,86
132,Fri Nov 15 2013,7:30 pm,Dallas Mavericks,104,Miami Heat,110
133,Fri Nov 15 2013,9:00 pm,Brooklyn Nets,100,Phoenix Suns,98
134,Fri Nov 15 2013,10:30 pm,Detroit Pistons,97,Sacramento Kings,90
135,Fri Nov 15 2013,7:00 pm,Chicago Bulls,96,Toronto Raptors,80
136,Fri Nov 15 2013,9:00 pm,San Antonio Spurs,91,Utah Jazz,82
137,Sat Nov 16 2013,7:00 pm,Miami Heat,97,Charlotte Bobcats,81
138,Sat Nov 16 2013,8:00 pm,Indiana Pacers,94,Chicago Bulls,110
139,Sat Nov 16 2013,10:30 pm,Utah Jazz,88,Golden State Warriors,102
140,Sat Nov 16 2013,8:00 pm,Denver Nuggets,111,Houston Rockets,122
141,Sat Nov 16 2013,10:30 pm,Brooklyn Nets,103,Los Angeles Clippers,110
142,Sat Nov 16 2013,8:30 pm,Oklahoma City Thunder,92,Milwaukee Bucks,79
143,Sat Nov 16 2013,8:00 pm,Boston Celtics,88,Minnesota Timberwolves,106
144,Sat Nov 16 2013,8:00 pm,Philadelphia 76ers,98,New Orleans Pelicans,135
145,Sat Nov 16 2013,7:30 pm,Atlanta Hawks,110,New York Knicks,90
146,Sat Nov 16 2013,7:00 pm,Dallas Mavericks,108,Orlando Magic,100
147,Sat Nov 16 2013,7:00 pm,Cleveland Cavaliers,103,Washington Wizards,96
148,Sun Nov 17 2013,9:30 pm,Detroit Pistons,99,Los Angeles Lakers,114
149,Sun Nov 17 2013,6:00 pm,Memphis Grizzlies,97,Sacramento Kings,86
150,Sun Nov 17 2013,1:00 pm,Portland Trail Blazers,118,Toronto Raptors,110
151,Mon Nov 18 2013,7:30 pm,Portland Trail Blazers,108,Brooklyn Nets,98
152,Mon Nov 18 2013,8:00 pm,Charlotte Bobcats,81,Chicago Bulls,86
153,Mon Nov 18 2013,8:30 pm,Philadelphia 76ers,94,Dallas Mavericks,97
154,Mon Nov 18 2013,10:30 pm,Memphis Grizzlies,106,Los Angeles Clippers,102
155,Mon Nov 18 2013,8:00 pm,Denver Nuggets,113,Oklahoma City Thunder,115
156,Mon Nov 18 2013,9:00 pm,Golden State Warriors,98,Utah Jazz,87
157,Tue Nov 19 2013,7:30 pm,New York Knicks,86,Detroit Pistons,92
158,Tue Nov 19 2013,8:00 pm,Boston Celtics,85,Houston Rockets,109
159,Tue Nov 19 2013,7:30 pm,Atlanta Hawks,88,Miami Heat,104
160,Tue Nov 19 2013,10:00 pm,Phoenix Suns,104,Sacramento Kings,107
161,Tue Nov 19 2013,7:00 pm,Minnesota Timberwolves,100,Washington Wizards,104
162,Wed Nov 20 2013,7:30 pm,Detroit Pistons,85,Atlanta Hawks,93
163,Wed Nov 20 2013,7:00 pm,Brooklyn Nets,91,Charlotte Bobcats,95
164,Wed Nov 20 2013,7:00 pm,Washington Wizards,98,Cleveland Cavaliers,91
165,Wed Nov 20 2013,9:30 pm,Houston Rockets,120,Dallas Mavericks,123
166,Wed Nov 20 2013,10:30 pm,Memphis Grizzlies,88,Golden State Warriors,81
167,Wed Nov 20 2013,8:00 pm,Portland Trail Blazers,91,Milwaukee Bucks,82
168,Wed Nov 20 2013,8:00 pm,Los Angeles Clippers,102,Minnesota Timberwolves,98
169,Wed Nov 20 2013,8:00 pm,Utah Jazz,98,New Orleans Pelicans,105
170,Wed Nov 20 2013,7:00 pm,Indiana Pacers,103,New York Knicks,96
171,Wed Nov 20 2013,7:00 pm,Miami Heat,120,Orlando Magic,92
172,Wed Nov 20 2013,7:00 pm,Toronto Raptors,108,Philadelphia 76ers,98
173,Wed Nov 20 2013,9:00 pm,Sacramento Kings,113,Phoenix Suns,106
174,Wed Nov 20 2013,8:30 pm,Boston Celtics,93,San Antonio Spurs,104
175,Thu Nov 21 2013,10:30 pm,Chicago Bulls,87,Denver Nuggets,97
176,Thu Nov 21 2013,8:00 pm,Los Angeles Clippers,91,Oklahoma City Thunder,105
177,Fri Nov 22 2013,7:30 pm,Indiana Pacers,97,Boston Celtics,82
178,Fri Nov 22 2013,7:00 pm,Phoenix Suns,98,Charlotte Bobcats,91
179,Fri Nov 22 2013,8:30 pm,Utah Jazz,93,Dallas Mavericks,103
180,Fri Nov 22 2013,7:30 pm,Atlanta Hawks,96,Detroit Pistons,89
181,Fri Nov 22 2013,10:30 pm,Golden State Warriors,95,Los Angeles Lakers,102
182,Fri Nov 22 2013,8:00 pm,San Antonio Spurs,102,Memphis Grizzlies,86
183,Fri Nov 22 2013,8:00 pm,Brooklyn Nets,81,Minnesota Timberwolves,111
184,Fri Nov 22 2013,8:00 pm,Cleveland Cavaliers,100,New Orleans Pelicans,104
185,Fri Nov 22 2013,7:00 pm,Milwaukee Bucks,107,Philadelphia 76ers,115
186,Fri Nov 22 2013,10:00 pm,Chicago Bulls,95,Portland Trail Blazers,98
187,Fri Nov 22 2013,7:00 pm,Washington Wizards,88,Toronto Raptors,96
188,Sat Nov 23 2013,7:30 pm,Boston Celtics,94,Atlanta Hawks,87
189,Sat Nov 23 2013,9:00 pm,Dallas Mavericks,100,Denver Nuggets,102
190,Sat Nov 23 2013,10:30 pm,Portland Trail Blazers,113,Golden State Warriors,101
191,Sat Nov 23 2013,8:00 pm,Minnesota Timberwolves,101,Houston Rockets,112
192,Sat Nov 23 2013,7:00 pm,Philadelphia 76ers,98,Indiana Pacers,106
193,Sat Nov 23 2013,3:30 pm,Sacramento Kings,102,Los Angeles Clippers,103
194,Sat Nov 23 2013,7:30 pm,Orlando Magic,99,Miami Heat,101
195,Sat Nov 23 2013,8:30 pm,Charlotte Bobcats,96,Milwaukee Bucks,72
196,Sat Nov 23 2013,8:30 pm,Cleveland Cavaliers,96,San Antonio Spurs,126
197,Sat Nov 23 2013,7:00 pm,New York Knicks,89,Washington Wizards,98
198,Sun Nov 24 2013,2:00 pm,Detroit Pistons,109,Brooklyn Nets,97
199,Sun Nov 24 2013,3:30 pm,Chicago Bulls,82,Los Angeles Clippers,121
200,Sun Nov 24 2013,9:30 pm,Sacramento Kings,86,Los Angeles Lakers,100
201,Sun Nov 24 2013,7:00 pm,Utah Jazz,73,Oklahoma City Thunder,95
202,Sun Nov 24 2013,6:00 pm,Phoenix Suns,104,Orlando Magic,96
203,Mon Nov 25 2013,7:00 pm,Boston Celtics,96,Charlotte Bobcats,86
204,Mon Nov 25 2013,8:30 pm,Denver Nuggets,110,Dallas Mavericks,96
205,Mon Nov 25 2013,7:30 pm,Milwaukee Bucks,94,Detroit Pistons,113
206,Mon Nov 25 2013,7:00 pm,Minnesota Timberwolves,84,Indiana Pacers,98
207,Mon Nov 25 2013,8:00 pm,Houston Rockets,93,Memphis Grizzlies,86
208,Mon Nov 25 2013,7:30 pm,Phoenix Suns,92,Miami Heat,107
209,Mon Nov 25 2013,10:00 pm,New York Knicks,91,Portland Trail Blazers,102
210,Mon Nov 25 2013,8:30 pm,New Orleans Pelicans,93,San Antonio Spurs,112
211,Mon Nov 25 2013,9:00 pm,Chicago Bulls,83,Utah Jazz,89
212,Tue Nov 26 2013,7:30 pm,Orlando Magic,109,Atlanta Hawks,92
213,Tue Nov 26 2013,8:00 pm,Golden State Warriors,102,New Orleans Pelicans,101
214,Tue Nov 26 2013,7:00 pm,Brooklyn Nets,102,Toronto Raptors,100
215,Tue Nov 26 2013,7:00 pm,Los Angeles Lakers,111,Washington Wizards,116
216,Wed Nov 27 2013,7:30 pm,Memphis Grizzlies,100,Boston Celtics,93
217,Wed Nov 27 2013,7:30 pm,Los Angeles Lakers,99,Brooklyn Nets,94
218,Wed Nov 27 2013,7:00 pm,Indiana Pacers,99,Charlotte Bobcats,74
219,Wed Nov 27 2013,7:30 pm,Miami Heat,95,Cleveland Cavaliers,84
220,Wed Nov 27 2013,8:30 pm,Golden State Warriors,99,Dallas Mavericks,103
221,Wed Nov 27 2013,7:30 pm,Chicago Bulls,99,Detroit Pistons,79
222,Wed Nov 27 2013,8:00 pm,Atlanta Hawks,84,Houston Rockets,113
223,Wed Nov 27 2013,10:30 pm,New York Knicks,80,Los Angeles Clippers,93
224,Wed Nov 27 2013,8:00 pm,Washington Wizards,100,Milwaukee Bucks,92
225,Wed Nov 27 2013,8:00 pm,Denver Nuggets,117,Minnesota Timberwolves,110
226,Wed Nov 27 2013,8:00 pm,San Antonio Spurs,88,Oklahoma City Thunder,94
227,Wed Nov 27 2013,7:00 pm,Philadelphia 76ers,94,Orlando Magic,105
228,Wed Nov 27 2013,9:00 pm,Portland Trail Blazers,106,Phoenix Suns,120
229,Fri Nov 29 2013,7:30 pm,Dallas Mavericks,87,Atlanta Hawks,88
230,Fri Nov 29 2013,7:30 pm,Cleveland Cavaliers,86,Boston Celtics,103
231,Fri Nov 29 2013,7:00 pm,Milwaukee Bucks,76,Charlotte Bobcats,92
232,Fri Nov 29 2013,9:00 pm,New York Knicks,95,Denver Nuggets,97
233,Fri Nov 29 2013,7:30 pm,Los Angeles Lakers,106,Detroit Pistons,102
234,Fri Nov 29 2013,8:00 pm,Brooklyn Nets,95,Houston Rockets,114
235,Fri Nov 29 2013,8:00 pm,Washington Wizards,73,Indiana Pacers,93
236,Fri Nov 29 2013,8:00 pm,Golden State Warriors,112,Oklahoma City Thunder,113
237,Fri Nov 29 2013,7:00 pm,San Antonio Spurs,109,Orlando Magic,91
238,Fri Nov 29 2013,8:00 pm,New Orleans Pelicans,121,Philadelphia 76ers,105
239,Fri Nov 29 2013,10:00 pm,Los Angeles Clippers,104,Sacramento Kings,98
240,Fri Nov 29 2013,7:00 pm,Miami Heat,90,Toronto Raptors,83
241,Fri Nov 29 2013,9:00 pm,Phoenix Suns,112,Utah Jazz,101
242,Sat Nov 30 2013,7:30 pm,Chicago Bulls,93,Cleveland Cavaliers,97
243,Sat Nov 30 2013,8:30 pm,Minnesota Timberwolves,112,Dallas Mavericks,106
244,Sat Nov 30 2013,8:00 pm,Brooklyn Nets,97,Memphis Grizzlies,88
245,Sat Nov 30 2013,9:00 pm,Boston Celtics,85,Milwaukee Bucks,92
246,Sat Nov 30 2013,9:00 pm,Utah Jazz,112,Phoenix Suns,104
247,Sat Nov 30 2013,8:30 pm,Houston Rockets,112,San Antonio Spurs,106
248,Sat Nov 30 2013,7:00 pm,Atlanta Hawks,101,Washington Wizards,108
250,Sun Dec 1 2013,3:30 pm,Philadelphia 76ers,100,Detroit Pistons,115
251,Sun Dec 1 2013,3:30 pm,Indiana Pacers,105,Los Angeles Clippers,100
252,Sun Dec 1 2013,9:30 pm,Portland Trail Blazers,114,Los Angeles Lakers,108
253,Sun Dec 1 2013,6:00 pm,Charlotte Bobcats,98,Miami Heat,99
254,Sun Dec 1 2013,7:30 pm,New Orleans Pelicans,103,New York Knicks,99
255,Sun Dec 1 2013,7:00 pm,Minnesota Timberwolves,103,Oklahoma City Thunder,113
256,Sun Dec 1 2013,6:00 pm,Golden State Warriors,115,Sacramento Kings,113
257,Sun Dec 1 2013,1:00 pm,Denver Nuggets,112,Toronto Raptors,98
258,Mon Dec 2 2013,8:00 pm,New Orleans Pelicans,131,Chicago Bulls,128
259,Mon Dec 2 2013,10:00 pm,Indiana Pacers,102,Portland Trail Blazers,106
260,Mon Dec 2 2013,8:30 pm,Atlanta Hawks,100,San Antonio Spurs,102
261,Mon Dec 2 2013,9:00 pm,Houston Rockets,103,Utah Jazz,109
262,Mon Dec 2 2013,7:00 pm,Orlando Magic,80,Washington Wizards,98
263,Tue Dec 3 2013,7:30 pm,Milwaukee Bucks,100,Boston Celtics,108
264,Tue Dec 3 2013,7:30 pm,Denver Nuggets,111,Brooklyn Nets,87
265,Tue Dec 3 2013,8:30 pm,Charlotte Bobcats,82,Dallas Mavericks,89
266,Tue Dec 3 2013,10:30 pm,Toronto Raptors,103,Golden State Warriors,112
267,Tue Dec 3 2013,8:00 pm,Phoenix Suns,91,Memphis Grizzlies,110
268,Tue Dec 3 2013,7:30 pm,Detroit Pistons,107,Miami Heat,97
269,Tue Dec 3 2013,7:00 pm,Orlando Magic,125,Philadelphia 76ers,126
270,Tue Dec 3 2013,10:00 pm,Oklahoma City Thunder,97,Sacramento Kings,95
271,Wed Dec 4 2013,7:30 pm,Los Angeles Clippers,97,Atlanta Hawks,107
272,Wed Dec 4 2013,7:00 pm,Denver Nuggets,88,Cleveland Cavaliers,98
273,Wed Dec 4 2013,8:00 pm,Phoenix Suns,97,Houston Rockets,88
274,Wed Dec 4 2013,8:00 pm,Detroit Pistons,105,Milwaukee Bucks,98
275,Wed Dec 4 2013,8:00 pm,Dallas Mavericks,100,New Orleans Pelicans,97
276,Wed Dec 4 2013,10:00 pm,Oklahoma City Thunder,104,Portland Trail Blazers,111
277,Wed Dec 4 2013,9:00 pm,Indiana Pacers,95,Utah Jazz,86
278,Thu Dec 5 2013,7:00 pm,New York Knicks,113,Brooklyn Nets,83
279,Thu Dec 5 2013,9:30 pm,Miami Heat,87,Chicago Bulls,107
280,Thu Dec 5 2013,8:00 pm,Los Angeles Clippers,101,Memphis Grizzlies,81
281,Fri Dec 6 2013,7:30 pm,Cleveland Cavaliers,89,Atlanta Hawks,108
282,Fri Dec 6 2013,7:30 pm,Denver Nuggets,98,Boston Celtics,106
283,Fri Dec 6 2013,7:00 pm,Philadelphia 76ers,88,Charlotte Bobcats,105
284,Fri Dec 6 2013,8:00 pm,Golden State Warriors,83,Houston Rockets,105
285,Fri Dec 6 2013,8:00 pm,Oklahoma City Thunder,109,New Orleans Pelicans,95
286,Fri Dec 6 2013,7:30 pm,Orlando Magic,83,New York Knicks,121
287,Fri Dec 6 2013,9:00 pm,Toronto Raptors,97,Phoenix Suns,106
288,Fri Dec 6 2013,10:00 pm,Utah Jazz,98,Portland Trail Blazers,130
289,Fri Dec 6 2013,10:00 pm,Los Angeles Lakers,106,Sacramento Kings,100
290,Fri Dec 6 2013,7:00 pm,Milwaukee Bucks,109,Washington Wizards,105
291,Sat Dec 7 2013,8:00 pm,Detroit Pistons,92,Chicago Bulls,75
292,Sat Dec 7 2013,7:30 pm,Los Angeles Clippers,82,Cleveland Cavaliers,88
293,Sat Dec 7 2013,8:00 pm,Golden State Warriors,108,Memphis Grizzlies,82
294,Sat Dec 7 2013,8:30 pm,Brooklyn Nets,90,Milwaukee Bucks,82
295,Sat Dec 7 2013,8:00 pm,Miami Heat,103,Minnesota Timberwolves,82
296,Sat Dec 7 2013,7:00 pm,Denver Nuggets,103,Philadelphia 76ers,92
297,Sat Dec 7 2013,10:00 pm,Dallas Mavericks,108,Portland Trail Blazers,106
298,Sat Dec 7 2013,8:30 pm,Indiana Pacers,111,San Antonio Spurs,100
299,Sat Dec 7 2013,9:00 pm,Sacramento Kings,112,Utah Jazz,102
300,Sun Dec 8 2013,6:00 pm,Miami Heat,110,Detroit Pistons,95
301,Sun Dec 8 2013,7:00 pm,Orlando Magic,88,Houston Rockets,98
302,Sun Dec 8 2013,9:30 pm,Toronto Raptors,106,Los Angeles Lakers,94
303,Sun Dec 8 2013,12:00 am,Boston Celtics,114,New York Knicks,73
304,Sun Dec 8 2013,7:00 pm,Indiana Pacers,94,Oklahoma City Thunder,118
305,Mon Dec 9 2013,7:00 pm,Golden State Warriors,111,Charlotte Bobcats,115
306,Mon Dec 9 2013,8:00 pm,Orlando Magic,85,Memphis Grizzlies,94
307,Mon Dec 9 2013,7:00 pm,Los Angeles Clippers,94,Philadelphia 76ers,83
308,Mon Dec 9 2013,10:00 pm,Dallas Mavericks,97,Sacramento Kings,112
309,Mon Dec 9 2013,9:00 pm,Portland Trail Blazers,105,Utah Jazz,94
310,Mon Dec 9 2013,7:00 pm,Denver Nuggets,75,Washington Wizards,74
311,Tue Dec 10 2013,7:30 pm,Oklahoma City Thunder,101,Atlanta Hawks,92
312,Tue Dec 10 2013,7:30 pm,Boston Celtics,96,Brooklyn Nets,104
313,Tue Dec 10 2013,8:00 pm,Milwaukee Bucks,78,Chicago Bulls,74
314,Tue Dec 10 2013,7:00 pm,New York Knicks,94,Cleveland Cavaliers,109
315,Tue Dec 10 2013,7:30 pm,Minnesota Timberwolves,121,Detroit Pistons,94
316,Tue Dec 10 2013,7:00 pm,Miami Heat,84,Indiana Pacers,90
