,Date,Start,Visitor,VisitorPTS,Home,HomePTS
1,Tue Oct 29 2013,7:00 pm,Orlando Magic,87,Indiana Pacers,97
2,Tue Oct 29 2013,10:30 pm,Los Angeles Clippers,103,Los Angeles Lakers,116
3,Tue Oct 29 2013,8:00 pm,Chicago Bulls,95,Miami Heat,107
4,Wed Oct 30 2013,7:00 pm,Brooklyn Nets,94,Cleveland Cavaliers,98
5,Wed Oct 30 2013,8:30 pm,Atlanta Hawks,109,Dallas Mavericks,118
6,Wed Oct 30 2013,7:30 pm,Washington Wizards,102,Detroit Pistons,113
7,Wed Oct 30 2013,10:30 pm,Los Angeles Lakers,94,Golden State Warriors,125
8,Wed Oct 30 2013,8:00 pm,Charlotte Bobcats,83,Houston Rockets,96
9,Wed Oct 30 2013,8:00 pm,Orlando Magic,115,Minnesota Timberwolves,120
10,Wed Oct 30 2013,8:00 pm,Indiana Pacers,95,New Orleans Pelicans,90
11,Wed Oct 30 2013,7:30 pm,Milwaukee Bucks,83,New York Knicks,90
12,Wed Oct 30 2013,7:00 pm,Miami Heat,110,Philadelphia 76ers,114
13,Wed Oct 30 2013,10:00 pm,Portland Trail Blazers,91,Phoenix Suns,104
14,Wed Oct 30 2013,10:00 pm,Denver Nuggets,88,Sacramento Kings,90
15,Wed Oct 30 2013,8:30 pm,Memphis Grizzlies,94,San Antonio Spurs,101
16,Wed Oct 30 2013,7:00 pm,Boston Celtics,87,Toronto Raptors,93
17,Wed Oct 30 2013,9:00 pm,Oklahoma City Thunder,101,Utah Jazz,98
18,Thu Oct 31 2013,8:00 pm,New York Knicks,81,Chicago Bulls,82
19,Thu Oct 31 2013,10:30 pm,Golden State Warriors,115,Los Angeles Clippers,126
21,Fri Nov 1 2013,7:30 pm,Toronto Raptors,95,Atlanta Hawks,102
22,Fri Nov 1 2013,7:30 pm,Milwaukee Bucks,105,Boston Celtics,98
23,Fri Nov 1 2013,8:00 pm,Miami Heat,100,Brooklyn Nets,101
24,Fri Nov 1 2013,7:00 pm,Cleveland Cavaliers,84,Charlotte Bobcats,90
25,Fri Nov 1 2013,9:00 pm,Portland Trail Blazers,113,Denver Nuggets,98
26,Fri Nov 1 2013,8:00 pm,Dallas Mavericks,105,Houston Rockets,113
27,Fri Nov 1 2013,10:30 pm,San Antonio Spurs,91,Los Angeles Lakers,85
28,Fri Nov 1 2013,8:00 pm,Detroit Pistons,108,Memphis Grizzlies,111
29,Fri Nov 1 2013,8:00 pm,Oklahoma City Thunder,81,Minnesota Timberwolves,100
30,Fri Nov 1 2013,7:00 pm,New Orleans Pelicans,90,Orlando Magic,110
31,Fri Nov 1 2013,10:00 pm,Utah Jazz,84,Phoenix Suns,87
32,Fri Nov 1 2013,10:00 pm,Los Angeles Clippers,110,Sacramento Kings,101
33,Fri Nov 1 2013,7:00 pm,Philadelphia 76ers,109,Washington Wizards,102
34,Sat Nov 2 2013,8:30 pm,Memphis Grizzlies,99,Dallas Mavericks,111
35,Sat Nov 2 2013,10:30 pm,Sacramento Kings,87,Golden State Warriors,98
36,Sat Nov 2 2013,7:00 pm,Cleveland Cavaliers,74,Indiana Pacers,89
37,Sat Nov 2 2013,8:30 pm,Toronto Raptors,97,Milwaukee Bucks,90
38,Sat Nov 2 2013,8:00 pm,Charlotte Bobcats,84,New Orleans Pelicans,105
39,Sat Nov 2 2013,7:30 pm,Chicago Bulls,104,Philadelphia 76ers,107
40,Sat Nov 2 2013,10:00 pm,San Antonio Spurs,105,Portland Trail Blazers,115
41,Sat Nov 2 2013,9:00 pm,Houston Rockets,104,Utah Jazz,93
42,Sun Nov 3 2013,6:00 pm,Boston Celtics,77,Detroit Pistons,87
43,Sun Nov 3 2013,9:30 pm,Atlanta Hawks,103,Los Angeles Lakers,105
44,Sun Nov 3 2013,6:00 pm,Washington Wizards,93,Miami Heat,103
45,Sun Nov 3 2013,7:30 pm,Minnesota Timberwolves,109,New York Knicks,100
46,Sun Nov 3 2013,7:00 pm,Phoenix Suns,96,Oklahoma City Thunder,103
47,Sun Nov 3 2013,6:00 pm,Brooklyn Nets,86,Orlando Magic,107
48,Mon Nov 4 2013,7:00 pm,Minnesota Timberwolves,92,Cleveland Cavaliers,93
49,Mon Nov 4 2013,10:30 pm,Houston Rockets,118,Los Angeles Clippers,137
50,Mon Nov 4 2013,8:00 pm,Boston Celtics,88,Memphis Grizzlies,95
51,Mon Nov 4 2013,7:00 pm,Golden State Warriors,110,Philadelphia 76ers,90
52,Tue Nov 5 2013,7:30 pm,Utah Jazz,88,Brooklyn Nets,104
53,Tue Nov 5 2013,8:30 pm,Los Angeles Lakers,104,Dallas Mavericks,123
54,Tue Nov 5 2013,9:00 pm,San Antonio Spurs,102,Denver Nuggets,94
55,Tue Nov 5 2013,7:30 pm,Indiana Pacers,99,Detroit Pistons,91
